TIPO DE INTERVENCIÓN,DESCRIPTORES CONSTRUCTIVOS,BIOMA DISEÑADO,ESCENA EN PRIMER PLANO,SITIO / CONTEXTO CLIMÁTICO,ELEMENTOS NATURALES DESTACADOS,SEÑALES DE USO HUMANO,FAUNA URBANA,MEDIO,TIPO DE VISTA,TIPO DE LUZ
Planta de tratamiento de aguas con vivienda modular,ordenado en teselación semirregular rhombitrihexagonal,humedal diseñado,". Dos niños corriendo mano a mano, piernas en zancada y risas a punto de estallar.","en mérida, yucatán, con vegetación tropical, bugambilias y ceibas","espejos de agua, plataformas flotantes","ropa tendida al sol, puestos efímeros, huertos urbanos","aves acuáticas, mariposas, tortugas",. Fotografía de arquitectura,vista top down,luz dorada de amanecer
Escuelas preescolares integradas a ecosistemas locales,de muros gruesos con ventanas verticales,corredor forestal urbano,". Una mujer embarazada de pie sobre colchoneta, brazos estirados hacia el techo en postura de yoga.","en hermosillo, sonora, con suelo seco, cactáceas","terrazas verdes, árboles frutales, pozos filtrantes","juegos infantiles, mercados vecinales, talleres al aire libre","colibríes, insectos polinizadores",. Fotografía con estética cinematográfica,vista frontal,bruma en el horizonte
Iglesias convertidas en centros sociales,con cubiertas en forma de hiperboloide parabólico,jardín xerófilo con especies nativas,". Un hombre subiendo a su bicicleta: pie izquierdo en el pedal, mano derecha agarrando el manubrio y mirada al frente.","en la periferia de guadalajara, rodeado de barrancas y vegetación mixta","vegetación salina, dunas, refugios para fauna","bancas, bicicletas estacionadas, herramientas de jardinería","garzas, patos, libélulas",. Foto digital tipo dslr,vista interior,medio día en invierno con cielo azul despejado
Edificios de oficinas convertidos en parques verticales,ordenado en armonía con la topografía,sistema de terrazas con filtración ecológica,". En el pasillo de viviendas, una persona con dos bolsas de mercado caminando lento, hombros relajados y mirada al suelo.","en tláhuac, cdmx, entre canales, chinampas y ruinas industriales transformadas en vivienda","corredores de viento, lomas vegetadas, taludes habitables","cocinas abiertas, gallineros urbanos",luciérnagas,. Encuadre gran angular con líneas verticales corregidas,vista satelital,rayos de sol filtrándose entre ramas
Edificios de oficinas convertidos en espacios de producción,elevadas sobre pilotes de madera,malecón costero natural esculpido,". En la zona de juegos, tres niños trepando por una estructura metálica, manos agarradas a los barrotes y pies buscando agarre.","en caracol colonia el salado, al norte de texcoco","pastizales nativos, cuerpos de agua intermitentes","corredores de viento, lomas vegetadas, taludes habitados",tlacuaches,. Ilustración técnica a mano con toques digitales,vista de dron 4k,luz difusa de tormenta en formación
Viviendas suspendidas en zonas costeras,ordenadas en gradientes fractales,granjas de algas de aguas saladas,". Una mujer sentada en silla plegable, sosteniendo un libro abierto con ambas manos y mirada concentrada.","en el istmo de tehuantepec, con vientos constantes",cenotes urbanos,"hamacas colgadas, faroles solares, andadores con sombra",perritos,. Render atmosférico con estilo de acuarela,vista en isométrico de un masterplan,contraluz al atardecer
Viviendas suspendidas en bosques,que se orientan al sur,bosques urbanos regenerativos,". Un adolescente estirando el brazo para colgar una prenda en la cuerda de tender, balanceo ligero del cuerpo.","en la sierra norte de puebla, entre neblina",muros verdes que filtran el aire,letreros pintados a mano,"aves migratorias, abejorros, caracoles",. Fotografía documental urbana tipo leica,vista desde el nivel de niño,luz cenital intensa 
Oficinas convertidas en parques productivos,con pretiles vegetados,pastizales para polinizadores,". Una mujer de rodillas trasplantando una planta, manos cubiertas de tierra y cuerpo inclinado hacia adelante.","en la cuenca de xochimilco, entre canales y chinampas",jardines comestibles en azoteas,cuerdas con utensilios de cocina,"ardillas, zorrillos, zanates",. Collage digital con texturas físicas,vista de close up,iluminación nocturna tenue y cálida
Periférico convertido en anillo verde,construido con material de demolición,laderas reforestadas con especies endémicas,. Una persona trotando con mirada fija en el horizonte.,"en el bajío, con aire seco, nopales, magueyes",laderas reforestadas con jacarandas,pizarrones comunitarios,"iguanas, gaviotas",. Fotografía con película caducada,vista desde el interior hacia el paisaje,penumbra con luces artificiales frías
Pequeñas industrias que se mezclan con vivienda,construido con materiales reciclados,arrecifes artificiales costeros,". Un niño dibujando con gis blanco en el suelo, cuerpo encorvado y mirada concentrada.","en tulum, con selva maya de vegetación densa",canales reintroducidos,senderos pisoteados,osos negros,. Axonometría digital ambientada a mano con tinta,vista desde una pasarela elevada,rayos de luna sobre superficies húmedas
Casetas de acceso a fraccionamientos convertidas en paradas de transporte,con muros de tierra compactada,biotopos urbanos con microclimas,. Un grupo de cuatro mujeres sentadas en una mesa teniendo una conversación acalorada.,"en la mixteca oaxaqueña, con suelos erosionados y lluvias estacionales",paisaje desértico reforestado con yucas,canastas con frutas locales,gatitos grises,. Fotomontaje tipo collage con revistas de National Geographic,vista a través de ramas,destellos intermitentes de neón
Casetas de acceso a fraccionamientos convertidas en estaciones de wifi y carga,subterráneo con iluminación natural,selvas comestibles comunitarias,". Un anciano sentado en banco bajo barandilla, lanzando migas al agua con la mano derecha y mirada suave.","en la costa de veracruz, entre manglares y calor húmedo",espacios entre raíces aéreas,fogones encendidos,coyotes carroñeros,. Dibujo de línea fina monocromático,zoom a un detalle,claroscuros proyectados por celosías
Campo de golf convertido en parque público,con estructura tensegrítica,tejados vivos multifuncionales,". Una pareja preparando vegetales sobre una mesa, cuchillo en mano y tronco inclinado sobre el plato.","en la huasteca potosina, con aguas azules y selva húmeda",rocas volcánicas emergentes en el paisaje,cestos de reciclaje hechos a mano,nubes de murciélagos,. Acuarela con detalle arquitectónico,vista desde dentro de una cueva,sombras largas de invierno
Vivienda social construida con el material de demolición,con estructuras efímeras de sombras textiles tensados,barrancas restauradas como corredores biológicos,. Un joven arrodillado recogiendo una maceta.,"en el valle de méxico, con contaminación y niebla matutina",bosques miniatura en patios,muebles reutilizados o reparados,insectos nocturnos,. Modelado 3d con estética low poly,vista desde un balcón ,iluminación profesional de estudio
Vivienda de interés social en jardines de Residencias,basado en módulos hexagonales ,jardines de lluvia,"En la azotea con bancos, dos amigos sentados de lado, uno con el brazo sobre el respaldo y el otro fumando con gesto relajado.","en la montaña de chiapas, entre cafetales y selva con neblina",árboles monumentales conservados,lavaderos comunales,palomas y ratas,. Grabado escheriano,vista desde el reflejo del agua,lluvia con iluminación cenital
Colonias con vivienda de distintos ingresos,hecho con costales rellenos de tierra,dunas urbanas estabilizadas,"En la zona de biogás, un operario llenando bidones de compost líquido, torso girado hacia la válvula y cejas concentradas.","en las dunas de coahuila, con luz intensa y arena blanca",arroyos restaurados entre calles,sillas distintas en cada porche,perros callejeros,. Técnica digital mixta con tinta,vista encuadrada entre columnas,niebla iluminada desde atrás
Red peatonal elevada que conecta un segundo piso en un distrito de torres de oficinas,con sistema constructivo minimalista,campos de flores nativas silvestres,". Un niño saltando del escalón, brazos extendidos al aire y expresión de júbilo.","en la costa del pacífico, con mares intensos y acantilados",cúpulas vivas cubiertas de musgo,baños secos compartidos,bancos de peces,. Trampantojo escheriano,vista entre el follaje,claridad posterior a una tormenta
Parques inundables como puntos de absorción,con estructuras neumáticas inflables,bosques urbanos con manejo ancestral,"En la escalera exterior, una persona con casco subiendo peldaños, mano izquierda en la barandilla y vista hacia arriba.","en el desierto de Baja California Sur, con el Mar de Cortéz",grietas húmedas con vegetación espontánea,techos con plantas y colgantes,cacomixtles en árboles,. Fotomontaje de maquetas fisicas en el contexto real,vista desde la azotea de un edificio vecino,noche iluminada por relámpagos lejanos
Plazas acondicionadas para campamentos migrantes,cubierto con mosaicos hechos de vidrio recuperado,manglares reintroducidos en bordes urbanos,. Un señor vertiendo los contenidos de su basurero orgánico dentro de la composta comunitaria. ,en un pueblo minero de Sonora,brumas activadas por sensores,estaciones de reparación de bicicletas,pajaritos urbanos,. Fotografía de objeto de maquetas físicas ,vista desde una barca,luz de velas y arbotantes cálidos
Vivienda de emergencia compostable con materiales naturales,techos invertidos para captación pluvial,islas verdes en lagos,. Un grupo de jóvenes de pie conversando y riendo.,"en el centro histórico de puebla, en patios olvidados",lianas colgantes sobre estructuras,pintura desgastada por el uso,zopilotes en azoteas,. Dioramas renderizados,vista panorámica fisheye,tiras suspendidas de fairy lights
Camellones comestibles,apoyado en una grilla ortogonal rota por la topografía,microbosques en terrenos baldíos ,. Una persona en silla de ruedas girando con una mano en la llanta y la otra sobre la pierna.,"en la periferia de monterrey, con industria masiva en el horizonte cercano",jardines cubresuelos de suculentas ,recipientes de composta comunitaria,panales de abejas,. Estilo blueprint ,vista desde una ventana deteriorada,reflejos del sol sobre polvo en suspensión
Estacionamientos reconvertidos en mercados locales,enmarcado por arcos parabólicos autoportantes,biomas anfibios con transición tierra-agua,". Un artista pintando un mural, pincel en alto y cuerpo inclinado hacia la pared.",en el puerto de Tampico,macizos florales silvestres,cortinas ligeras de telas recicladas,nidos de golondrinas,. Proyección arquitectónica con sombras largas,vista cenital ,luz filtrada por textiles colgantes
Puentes peatonales como espacios de reunión y cultivo,integrado a la vegetación como ruina activa,musgos y líquenes en muros húmedos,". Un adolescente recostado en hamaca, manos tras la cabeza y piernas cruzadas en el aire.",en un cráter volcánico habitado,arenales costeros regenerativos,ollas solares y recolectores de agua de lluvia,insectos entre adoquines,. Imágenes de archivo intervenidas,vista paralela,chispas solares entre ramas cerradas
Centros comerciales convertidos en escuelas públicas,con cimentación expuesta,áreas de amortiguamiento con flora regenerativa,". Un hombre entregando una canasta de pan a un vecino, brazo estirado y sonrisa reconocible.",en los humedales de la laguna de zumpango,luminiscencia natural con luciérnagas,murales participativos con mensajes locales,ranas arborícolas,. Foto con textura de película antigua,vista en picada dramática,penumbra con iluminación puntual
Rellenos sanitarios transformados en bosques productivos,construído con impresión 3d de barro crudo y fibras,jardines verticales con ciclo hidrológico cerrado,". En la terraza del módulo, dos personas brindando con vasos de agua, codos flexionados y miradas encontradas.","en una comunidad en la periferia de Salina Cruz, Oaxaca",luminiscencia natural con reflejos en el agua,jardines cuidados por vecinos,caballos,. Boceto técnico digital,vista desde abajo,spot de luz puntual