TIPO DE INTERVENCIÓN,DESCRIPTORES CONSTRUCTIVOS,BIOMA DISEÑADO,SITIO / CONTEXTO CLIMÁTICO,ELEMENTOS NATURALES DESTACADOS,PARÁMETROS DE PERSONALIZACIÓN
planta de tratamiento de aguas habitadas,ordenado en teselación semirregular rhombitrihexagonal,humedal diseñado,"en mérida, yucatán, con vegetación tropical, bugambilias y ceibas","espejos de agua, plataformas flotantes",--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
escuelas integradas a ecosistemas locales,de muros de concreto con ventanas verticales,corredor forestal urbano,"en hermosillo, sonora, con suelo seco, cactáceas y arquitectura de sombra","terrazas verdes, árboles frutales, pozos filtrantes",--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
iglesias convertidas en centros sociales,con cubiertas de concreto hiperboloide parabólico,jardín xerófilo con especies nativas,"en la periferia de guadalajara, rodeado de barrancas y vegetación mixta","vegetación salina, dunas, refugios para fauna",--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
edificios de oficinas convertidos en parques verticales,ordenado en armonía con la topografía,sistema de terrazas con filtración ecológica,"en tláhuac, cdmx, entre canales, chinampas y ruinas industriales","corredores de viento, lomas vegetadas, taludes habitables",--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
edificios de oficinas convertidos en espacios de producción,elevadas sobre pilotes de madera,malecón costero natural,"en caracol colonia el salado, al norte de texcoco","pastizales nativos, cuerpos de agua intermitentes",--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
viviendas suspendidas en zonas costeras,ordenadas en gradientes fractales,granjas de algas de aguas saladas,"en el istmo de tehuantepec, con vientos constantes",cenotes urbanos,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
viviendas suspendidas en bosques,que se orientan al sur,bosques urbanos regenerativos,"en la sierra norte de puebla, entre neblina",muros verdes que filtran el aire,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
oficinas convertidas en parques productivos,con pretiles vegetados,pastizales para polinizadores,"en la cuenca de xochimilco, entre canales y chinampas",jardines comestibles en azoteas,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
periférico convertido en anillo verde,construido con material de demolición,laderas reforestadas con especies endémicas,"en el bajío, con antiguas haciendas y aire seco",laderas reforestadas,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
pequeñas industrias que se mezclan con vivienda,construido con materiales reciclados,arrecifes artificiales costeros,"en tulum, con ruinas mayas y vegetación densa",canales naturales o reintroducidos,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
casetas de acceso a fraccionamientos convertidas en paradas de transporte,con muros de tierra compactada,biotopos urbanos con microclimas,"en la mixteca oaxaqueña, con suelos erosionados y lluvias estacionales",cuevas adaptadas para la contemplación,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
casetas de acceso a fraccionamientos convertidas en estaciones de wifi y carga,subterráneo,selvas comestibles comunitarias,"en la costa de veracruz, entre manglares y calor húmedo",espacios entre raíces aéreas,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
campo de golf convertido en parque público,con estructura aparente y audaz,tejados vivos multifuncionales,"en el altiplano potosino, con horizonte salino y atardeceres vastos",rocas volcánicas emergentes en el paisaje,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
vivienda social construida con el material demolido de bardas,con estructuras efímeras de sombras textiles tensadas,barrancas restauradas como corredores biológicos,"en el valle de méxico, con contaminación y niebla matutina",bosques miniatura en patios,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
vivienda de interés social en jardines de casas de las lomas,basado en módulos hexagonales portátiles,jardines de lluvia,"en la montaña de chiapas, entre cafetales y nebliselva",árboles monumentales conservados,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
colonias con vivienda de distintos ingresos,hecho con costales rellenos de tierra,dunas urbanas estabilizadas,"en las dunas de coahuila, con luz intensa y arena blanca",arroyos restaurados entre calles,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
red peatonal elevada que conecta santa fe,con sistema constructivo de bajo impacto hídrico,campos de flores nativas silvestres,"en la costa del pacífico, con mares intensos y acantilados",cúpulas vivas cubiertas de musgo,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
parques inundables como puntos de absorción,con estructuras neumáticas inflables,bosques urbanos con manejo indígena,en una zona arqueológica abandonada,grietas húmedas con vegetación espontánea,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
plazas acondicionadas para campamentos migrantes,cubierto con mosaicos hechos de vidrio recuperado,manglares reintroducidos en bordes urbanos,en una ex zona minera del norte,brumas activadas por el clima,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
vivienda de emergencia compostable con materiales naturales,techos invertidos para captación pluvial,islas flotantes verdes en canales,"en el centro histórico de puebla, en patios olvidados",lianas colgantes sobre estructuras,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
camellones comestibles,apoyado en una grilla ortogonal rota por la topografía,microbosques miyawaki en baldíos urbanos,"en la periferia de monterrey, con quebradas y nopalera",jardines de suculentas en fachadas,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
estacionamientos reconvertidos en mercados locales,enmarcado por arcos parabólicos autoportantes,biomas anfibios con transición tierra-agua,en un delta fluvial seco,macizos florales silvestres,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
puentes peatonales como espacios de reunión y cultivo,integrado a la vegetación como ruina activa,corredores de musgos y líquenes en muros húmedos,en un cráter volcánico habitado,arenales costeros regenerativos,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
centros comerciales convertidos en escuelas públicas,"reversible, sin cimentación permanente",áreas de amortiguamiento con flora regenerativa,en los humedales de la laguna de zumpango,luminiscencia natural con luciérnagas o reflejos de agua,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
rellenos sanitarios transformados en bosques productivos,hecho con impresión 3d de barro crudo y fibras,jardines verticales con ciclo hidrológico cerrado,en una comunidad lacustre del lago de cuitzeo,ecos de sonidos naturales amplificados,--ar 16:9 --style raw --s 550 --weird 0 --chaos 50
